What_is_your_gender,What_is_your_level_of_education,How_familiar_are_you_with_using_AI_chatbots,What_task_did_you_attempt_to_complete_using_ChatGPT__eg_Assignment_Research_Calculation_etc,Were_you_able_to_successfully_complete_your_task_using_ChatGPT,How_easy_was_it_to_interact_with_ChatGPT,Was_ChatGPT_able_to_understand_your_questions_or_prompts_accurately,How_effectively_did_ChatGPT_provide_solutions_or_answers_to_your_queries,Did_ChatGPT_save_you_time_in_completing_your_tasks,How_would_you_rate_ChatGPTs_reliability_in_delivering_consistent_responses,Would_you_use_ChatGPT_again_for_similar_tasks,How_engaging_did_you_find_the_interaction_with_ChatGPT,Did_ChatGPTs_responses_feel_natural_and_humanlike,Did_ChatGPTs_responses_evoke_any_emotional_reaction_eg_frustration_delight_confusionShort_answer,How_enjoyable_was_your_experience_with_ChatGPT,Would_you_recommend_ChatGPT_to_others_based_on_your_experience,What_did_you_like_most_about_ChatGPT,What_did_you_dislike_or_find_frustrating_about_ChatGPT,On_a_scale_of_1_to_5_how_would_you_rate_ChatGPT_overall,What_suggestions_do_you_have_for_improving_ChatGPT
Male,Undergraduate,3,Assignment ,1.0,3,"Yes, partially",,,3.0,,3,Neutral,Delight ,3.0,Probably,Efficiency ,Premium subscription ,3.0,Improve efficiency 
Female,Undergraduate,3,Assignment,1.0,3,"Yes, completely",,,3.0,,3,Most of the time,Delight,3.0,Definitely,Speed,Nothing,3.0,Compactabiluty
Female,Undergraduate,4,Research,1.0,1,"Yes, completely",,,4.0,,5,Most of the time,Confusion,4.0,Definitely,It answers questions efficiently and it saves time and effort.,"It might not give the answers you're expecting from it, it doesn't work well with calculations and it doesn't work well with diagrams",4.0,"It should be able to interact with users more efficiently, it should improve it's performance and it should derive correct answers based on the questions asked."
Female,Undergraduate,3,Research,1.0,3,"Yes, completely",,,3.0,,3,Most of the time,Delight,3.0,Definitely,Dspeed,Flexibility,3.0,More of details
Male,Undergraduate,4,Research ,1.0,1,"Yes, completely",,,1.0,,1,A;ways,Delight,1.0,Definitely,Answers,Nothing,1.0,Making it be able to upload images without paying
Male,Undergraduate,3,ASSIGNMENT AND CALCULATIONS,1.0,3,"Yes, partially",,,3.0,,3,Most of the time,CONFUSION,3.0,Probably,the fast reply and mostly accurate,giving long explantions ,4.0,give more simpple solutions
Male,Undergraduate,5,Assignment and projects,,3,"Yes, partially",,,4.0,,5,Most of the time,No,5.0,Definitely,everything,Nothing,5.0,N/A
Male,Undergraduate,3,Research,1.0,1,"Yes, partially",,,4.0,,4,Most of the time,Satisfaction ,4.0,Definitely,How authentic the answer it provides are,It doesn't usually give you updated answers,4.0,It should try as hard as possible not to give outdated information
Male,Undergraduate,4,Assignment,1.0,3,"Yes, partially",,,4.0,,4,Most of the time,Confusion,3.0,Definitely,Direct answers,Over explanation,3.0,Try to summarize the repsonses
Male,Undergraduate,5,All of the above,1.0,5,"Yes, completely",,,5.0,,4,Neutral,Sometimes frustration ,4.0,Definitely,Easy to use ,Ai like answers ,5.0,Adaptability to users
Female,Secondary School,4,All of the above ,1.0,4,"Yes, partially",,,5.0,,4,Neutral,"Frustration, at times",4.0,Definitely,Saves time and energy,Does not always do as required,5.0,Improved comprehension skills
Male,Undergraduate,5,Research,1.0,1,"Yes, completely",,,5.0,,5,A;ways,delight,5.0,Definitely,its ease of use,N/A,5.0,improve the answers quality
Male,Undergraduate,5,Assignment ,1.0,5,"Yes, completely",,,5.0,,5,A;ways,At edffff,5.0,Definitely,Assignment ,Nothing ,5.0,Pictures 
Male,Undergraduate,4,Calculation,1.0,1,"Yes, completely",,,4.0,,4,A;ways,yes,4.0,Definitely,Interactivity ,Rare inconsistency ,4.0,N/A
Female,Undergraduate,1,Nothing,0.0,1,"Yes, completely",,,4.0,,3,Neutral,I have never used it,3.0,Neutral,N/A,N/A,3.0,I have never used it
Male,Undergraduate,3,Research ,,3,"Yes, partially",,,3.0,,3,Neutral,No,3.0,Probably,N/A,N/A,4.0,More human like answers 
Male,Undergraduate,4,Assignment ,,4,"Yes, completely",,,3.0,,3,Neutral,Sometimes good ,3.0,Probably,Easy to access ,Sometimes the network will automatically go off .. keeping you waiting for the request to show up ,3.0,Try to work on the results and try to upgrade it to support diagram ( image) sometimes it's taken longer periods before it's accept image and sometimes it won't even support images 
Male,Undergraduate,3,Research,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Confusion,4.0,Definitely,The interface,Some responses,4.0,Nothing
Male,Undergraduate,3,"Assignment, Research, Calculation",1.0,4,"Yes, partially",,,4.0,,4,Most of the time,Confusion,4.0,Probably,Solutions,Sometimes going off point,4.0,Nothing
Male,Undergraduate,3,assignement,1.0,3,"Yes, partially",,,3.0,,3,Most of the time,delay,3.0,Probably,quick response,the characters ,3.0,improve the characters and quick response
Male,Postgraduate,4,Research ,1.0,3,"Yes, completely",,,3.0,,4,A;ways,Delight ,5.0,Definitely,Research ,Nil ,4.0,More improvement 
Male,Undergraduate,4,"Calculatation, research, assignment and code improvements ",1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Delight and confusion ,4.0,Definitely,The accuracy of it response to the task given ,Confusion and inability to understand the task sometimes ,4.0,Improve it human understandings 
Male,Undergraduate,5,"all tasks from coding, writing, creation and ",,2,"Yes, completely",,,5.0,,4,A;ways,yes confusion,3.0,Definitely,Ease of use,Answers are usually not simplified,3.0,Should have a faster response time
Female,Postgraduate,3,Assignment and research ,,2,"Yes, partially",,,4.0,,2,Rarely,Confusion ,4.0,Probably,Immediate answer to questions ,It doesn't really understand the question asked therefore providing an answer that is not related to the question ,4.0,Enable it to be able to understand questions and provide all necessary answer to those questions 
Male,Undergraduate,4,As mentioned above ,1.0,2,"Yes, partially",,,3.0,,3,Neutral,No emotional reaction ,3.0,Definitely,It helps  you with different idea,Nil,3.0,Just needs more upgrades 
Male,Undergraduate,2,assignment,,3,"Yes, partially",,,3.0,,3,Neutral,no,3.0,Probably,its ease,its complexity,3.0,it should be made more simplified and accurate
Male,Undergraduate,5,Research framework generation,1.0,5,"Yes, completely",,,4.0,,5,Most of the time,Awoke,4.0,Probably,Making task seems very easy ,Hallucinations ,4.0,Reduce level of hallucinations 
Female,Undergraduate,4,Research,,5,"Yes, completely",,,4.0,,4,Most of the time,nope,4.0,Probably,N/A,N/A,4.0,It should give more detailed answers
Male,Undergraduate,4,"Assignment, Research",1.0,2,"Yes, completely",,,4.0,,4,Neutral,Frustration sometimes,4.0,Definitely,It makes me work faster and help me remain productive,It hallucinates sometimes,4.0,I would recommend some improvements in it's nuances when writing such that it can't really be detected whether ChatGPT wrote it or not
Male,Undergraduate,5,Research,,1,"Yes, partially",,,4.0,,5,Most of the time,Delight ,4.0,Definitely,Ability to remember previous conversations,Does not generate accurate images,5.0,Generating more accurate images
Male,Undergraduate,3,Assignments and research ,1.0,2,"Yes, completely",,,4.0,,4,Neutral,Delight ,4.0,Definitely,Effective and prompt reliable response ,Limitations for those that haven’t subscribed ,4.0,Picture responses 
Female,Undergraduate,3,Assignment and Research,,3,"Yes, partially",,,3.0,,3,Neutral,Yes,3.0,Probably,It is fast and easy to use,Its response isnt human-like,3.0,It should be more versatile
Male,Postgraduate,5,"I use it for most of my daily life, work, research, debugging and daily interaction ",1.0,5,"Yes, completely",,,4.0,,5,Neutral,Enlightening ,4.0,Definitely,Easy to use and open source (free),Sometimes it won’t understand simple request ,4.0,Being able to render real life data 
Male,Undergraduate,5,Research ,1.0,1,"Yes, completely",,,5.0,,5,Most of the time,Sometimes confusion,5.0,Definitely,It's learn from me to help me in my task ,It goes beyond my questions,4.0,To be more human like when communicating with user
Male,Undergraduate,5,Research ,1.0,4,"Yes, completely",,,5.0,,3,Neutral,Confusion ,4.0,Definitely,Reliability ,Inability to grasp certain prompts,5.0,Enable it to have better understanding 
Male,Undergraduate,3,research,,4,"Yes, completely",,,4.0,,4,Neutral,delight,4.0,Definitely,being able to perform a supply task given to it fast,it is not humanized it just does like a robot,4.0,it should be able to interact with humans as if they were humans
Prefer not to say,Undergraduate,4,"Assignment, Research, Calculation, Project etc.",,1,"Yes, completely",,,4.0,,4,Neutral,"frustration, delight, confusion",4.0,Definitely,It's efficiency,It's ability not to make your work more human like especially in project.,4.0,Make more human-like response
Male,Postgraduate,4,Research ,,4,"Yes, partially",,,4.0,,4,Neutral,Non,4.0,Neutral,The fact that it helps ,Nothing really ,4.0,Nothing 
Male,Postgraduate,5,Project,1.0,5,"Yes, completely",,,4.0,,5,Neutral,A bit inaccurate often but that's why you work with prompts.,5.0,Definitely,The vast knowledge ,it's inaccuracy sometimes,4.0,Verification of information before distribution
Male,Undergraduate,3,Assignment ,1.0,1,"Yes, partially",,,5.0,,3,Neutral,Delight,5.0,Definitely,Ease of Use ,Nothing ,4.0,Generate images 
Male,Postgraduate,5,Research,,2,"Yes, partially",,,4.0,,5,Neutral,No,4.0,Definitely,It's general purpose capabilities ,It's annoying safety rails ,4.0,Relax the subjective safety rails
Female,Postgraduate,5,"Assignment, Research, Calculations and Coding ",,1,"Yes, partially",,,2.0,,2,Rarely,Disappointment and sometimes confusion. Only few times does it give satisfaction ,2.0,Probably not,The voice input feature ,Non-reliability. Occasionally does the job satisfactorily. ,2.0,Adopt the robustness of some other AI bots like Claude AI
Male,Postgraduate,5,research,1.0,1,"Yes, completely",,,5.0,,5,Most of the time,no,5.0,Definitely,its quick responses,nothing yet,4.0,nothing yet
Male,Postgraduate,5,Research,1.0,2,"Yes, completely",,,4.0,,5,Most of the time,Delight,4.0,Definitely,Very Efficient ,Sometimes goes out of context ,4.0,More restorable memory
Male,Postgraduate,4,"Research, Assignment ",1.0,2,"Yes, completely",,,4.0,,4,Neutral,Not at all ,4.0,Definitely,Speed and Correctness ,Doesn't sound like Human,4.0,Responses should be Human like 
Male,Undergraduate,4,Assignment,1.0,2,"Yes, partially",,,4.0,,3,Neutral,delight,4.0,Definitely,N/A,N/A,4.0,Try and understand context more
Male,Postgraduate,4,"Assignment, calculation",1.0,1,"Yes, completely",,,5.0,,4,Most of the time,Delightful,4.0,Definitely,it's level of deep reasoning,Less ambiguity in answers,5.0,I suggest it should be able to understand the concept of any form of question and be able to answer it in respect to how it is asked
Male,Postgraduate,3,Assignment and research ,,2,"Yes, partially",,,5.0,,3,Most of the time,Confusion sometimes and overwhelming other times,4.0,Definitely,Rapid responses and the detail ,The details are often excessive ,5.0,"Improved precision of answers I guess, less options would make getting a solution faster "
Male,Postgraduate,5,"Assignment, research",1.0,1,"Yes, completely",,,5.0,,5,Most of the time,No,5.0,Definitely,The explicit and detail response to questions,Non yet,5.0,Enhancement for future development
Male,Undergraduate,4,Research ,1.0,4,"Yes, completely",,,4.0,,3,Neutral,Confusion ,4.0,Probably,Easy access,You need to put in accurate and precise prompt ,4.0,It needs to learn more 
Female,Postgraduate,5,Research ,1.0,1,"Yes, partially",,,4.0,,5,Most of the time,Delight,4.0,Probably,N/A,N/A,4.0,Nothing yet
Male,Postgraduate,4,Assignment ,1.0,1,"Yes, completely",,,5.0,,4,Neutral,No,5.0,Definitely,Ability to solve problems in different ways/methods and give opinions sometimes ,Can’t really say,4.0,I think more work should be done on its algorithm 
Male,Postgraduate,2,Assignment ,1.0,3,"Yes, completely",,,4.0,,5,Most of the time,delight,5.0,Definitely,Gives the accurate solution ,The solutions too many ,3.0,They should more work on it to be more friendly site
Female,Undergraduate,2,Assignment,1.0,1,"Yes, completely",,,4.0,,4,Neutral,Delight,4.0,Probably,Fast response,Nothing,4.0,N/A
Male,Undergraduate,5,Coding ,,4,"Yes, partially",,,4.0,,4,Most of the time,Frustration,4.0,Definitely,The ease of prompting ,"Well, it misunderstands me sometimes ",4.0,It's model needs to be the trained of more data 
Male,Undergraduate,4,Assignments,1.0,1,"Yes, completely",,,4.0,,3,Neutral,Joy,4.0,Definitely,Effectiveness ,Nothing ,4.0,Voice action
Male,Postgraduate,5,"Software Development, Opinions, Assignment, Research, Calculation",1.0,1,"Yes, partially",,,4.0,,4,Neutral,no,3.0,Definitely,N/A,N/A,4.0,Less hallucination
Female,Undergraduate,4,Assignment ,1.0,4,"Yes, partially",,,5.0,,3,Neutral,Confusion ,5.0,Probably,Ability to understand the questions and give different answers in many areas of your question.,It give confusing answers sometimes which makes it frustrated ,3.0,Improve the ways of answering questions to humans' understanding
Female,Undergraduate,1,Assignment ,1.0,5,"Yes, completely",,,4.0,,4,Neutral,No,4.0,Definitely,Saves time,Nothing ,4.0,Nothing 
Male,Undergraduate,4,Assignment and research,,4,"Yes, partially",,,5.0,,3,Neutral,No,4.0,Definitely,The precise and quickness to response,Sometimes it doesn't always give what you asked for,4.0,It should have more rational thinking or behavior 
Male,Undergraduate,5,"Calculation, Coding, Research, Suggestions",1.0,5,"Yes, completely",,,4.0,,5,Most of the time,Frustration and Confusion,4.0,Definitely,Ability to deliver and answer exactly what you need,The UI design for web version,5.0,Develop a better UI for web version
Male,Postgraduate,3,research ,,1,"Yes, completely",,,3.0,,3,Rarely,yeah,3.0,Probably,sufficiency ,not human enough ,3.0,idk
Male,Undergraduate,5,Research,1.0,1,"Yes, completely",,,5.0,,5,Neutral,no,5.0,Definitely,Straight and understandable answer,Nothing,5.0,Give it recent data to use and give response based on the data
Male,Undergraduate,5,"Assignment, research ",1.0,5,"Yes, partially",,,5.0,,5,Most of the time,Delight ,4.0,Definitely,Response ,Not accurate enough ,5.0,I suggest you include odf mode 
Male,Postgraduate,5,"Research, programming and assignment ",1.0,4,"Yes, partially",,,4.0,,5,Most of the time,Frustration ,4.0,Definitely,Very upgrade to it to make it better,You have to provide a lot of information and prompt to make the response better,5.0,Ability to organise chats and make notes
Male,Postgraduate,5,Research ,1.0,1,"Yes, partially",,,5.0,,5,Neutral,Somewhat,4.0,Definitely,Web scrapping ,Inability to provide answers outside informations on the web,5.0,"Chatgpt cannot improve, a new model has to sufface"
Male,Undergraduate,2,Research ,1.0,3,"Yes, completely",,,3.0,,3,Neutral,Delight ,3.0,Neutral,Easy and good response ,Nothing ,4.0,Stable with correct result 
Male,Undergraduate,4,Research and programming ,,1,"Yes, completely",,,4.0,,4,Neutral,Not really ,3.0,Definitely,The ability to provide detailed code snippets in programming ,The solving  in calculations aspect. It's sometimes no properly displayed ,4.0,Interactions and calculations aspect 
Male,Undergraduate,5,"Assignment, Research, Calculation",1.0,1,"Yes, completely",,,4.0,,5,A;ways,Yes,4.0,Definitely,is response,N/A,5.0,you are doing good and you can still do  better
Female,Undergraduate,3,Research ,0.0,5,"Yes, completely",,,3.0,,5,A;ways,Confusion ,4.0,Definitely,Everything ,Very confuse,4.0,I don't have 
Male,Undergraduate,3,Assignment and cakcultiy,,2,"Yes, partially",,,3.0,,3,Rarely,Confusion most times,2.0,Neutral,Fast response ,Explaining the answer I expect ,3.0,"More human like responses,my lecturers can detect if I use chatGPT"
Female,Postgraduate,3,Assignments ,1.0,2,"Yes, completely",,,4.0,,4,Most of the time,Delight and wanting to learn more ,4.0,Definitely,Ability to give accurate response based on the query given to it.,Nothing yet,4.0,Give more options to attach more than 2 documents in 24 hours
Male,Undergraduate,4,Assignment ,,3,"Yes, partially",,,4.0,,3,Neutral,Delight,3.0,Probably,How they answered questions ,Nothing much,3.0,It’s not bad
Male,Undergraduate,5,Assignment,1.0,4,"Yes, partially",,,4.0,,4,Neutral,Confusion,4.0,Definitely,Time saving,Not all prompts are accessible,4.0,More freedom and full open source
Male,Undergraduate,3,Research,1.0,4,"Yes, completely",,,4.0,,3,Most of the time,delight,4.0,Probably,Their straight forward answers,their answers,3.0,In their effectiveness
Male,Undergraduate,5,"Research, assignment and projects ",1.0,1,"Yes, completely",,,4.0,,4,Most of the time,Confusion ,5.0,Probably,Easy to understand ,Its confusing sometimes ,4.0,Voice command
Male,Postgraduate,5,Assignment ,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,"Slightly sometimes,",5.0,Definitely,Straight to the Point ,Does understanding maths and symbols sometimes,5.0,It should improve on arguments with references
Male,Postgraduate,5,"Assignment, Research and Calculation ",1.0,2,"Yes, partially",,,3.0,,5,Most of the time,Yes,5.0,Definitely,Brilliance ,Stupid at times,4.0,No suggestions 
Male,Undergraduate,2,Assignment ,1.0,1,"Yes, completely",,,1.0,,1,Most of the time,No ,1.0,Definitely,It’s easy to use and understand ,Late response ,5.0,Keep the good work going 
Male,Undergraduate,2,"Assignment, Research, Enquiry ",1.0,1,"Yes, completely",,,5.0,,5,A;ways,No,5.0,Definitely,The response time,Nothing ,5.0,Be able to solve image problems and draw neat tables
Male,Undergraduate,5,Assignment and I also use it for project research,1.0,1,"Yes, completely",,,4.0,,5,Most of the time,The responses from ChatGPT are not really frustrating to me,4.0,Definitely,How it gives details to my questions ,Nothing ,4.0,The data in it should be updated to the latest ones 
Male,Undergraduate,4,Assignment,,3,"Yes, partially",,,4.0,,3,Neutral,Not to me in that aspect,4.0,Definitely,User friendly,Not always bring the exact answer,4.0,ChatGPT should be able to generate UML diagram
Male,Undergraduate,5,"Research, Coding, Essays",1.0,1,"Yes, completely",,,4.0,,5,Most of the time,No,4.0,Definitely,Able to gather streamline and composed thoughts,The hallucinations,4.0,Able to do internal research and help with emotional intelligence 
Male,Undergraduate,5,Research,1.0,1,"Yes, completely",,,5.0,,4,Most of the time,No,4.0,Probably,The interface,Nothing,4.0,N/A
Male,Undergraduate,5,"Assignment, Research, Calculation ",1.0,3,"No, not at all",,,3.0,,3,Rarely, frustration,3.0,Probably,ability to deliver,not free,4.0,make it free for the sake of humanity
Male,Undergraduate,5,"Assignment, Research and Calculation",1.0,5,"Yes, partially",,,4.0,,5,Neutral,Nan,5.0,Probably,Easy to use,Nan,4.0,Nan
Male,Undergraduate,5,Assignment and research,1.0,2,"Yes, partially",,,4.0,,5,Neutral,delight,4.0,Definitely,Efficient & Effective,I don't know yet,4.0,N/A
Male,Undergraduate,4,research,1.0,3,"Yes, completely",,,4.0,,5,Most of the time,no,4.0,Definitely,the memory,N/A,4.0,none at the moment
Male,Undergraduate,5,Research ,1.0,4,"Yes, partially",,,5.0,,4,Neutral,Delight,4.0,Definitely,User friendly interface ,Not precise sometimes ,5.0,Please give the exact answer first before close or similar answer🙂
Male,Postgraduate,5,"Assignments, researches, project works",1.0,4,"Yes, completely",,,5.0,,5,Rarely,delight,5.0,Definitely,The human-like engagement,some responses aren't definite,4.0,to be more human while interacting
Female,Undergraduate,5,Research ,,3,"Yes, partially",,,4.0,,2,Most of the time,No,4.0,Definitely,"It's ability to continue a research question when ""more"" is typed",Nothing I can remember ,4.0,I think it should be upgraded to be able to delve into ones personal emotions based on the question asked 
Male,Undergraduate,3,i asked it to assist with a proper final year project,1.0,1,"Yes, completely",,,4.0,,4,Neutral,delight,4.0,Definitely,it's effectiveness,nil,4.0,nil
Female,Secondary School,1,Assignment,1.0,1,"Yes, completely",,,5.0,,5,A;ways,Delight,5.0,Definitely,Very fast,Nothing,5.0,No suggestion
Male,Undergraduate,3,Assignment ,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Not at all ,4.0,Definitely,Quick response to questions ,Cost,4.0,"There is always a room for improvement,"
Male,Undergraduate,4,Reading,1.0,1,"Yes, completely",,,5.0,,5,Most of the time,Nothing ,4.0,Definitely,N/A,N/A,4.0,No comment 
Female,Postgraduate,4,Assignment ,1.0,1,"Yes, completely",,,4.0,,4,Most of the time,Delight ,5.0,Definitely,Prompt and accurate answers and it can also simplify to one's level,Nothing really,4.0,They should keep improving 
Female,Secondary School,1,Assignment,1.0,1,"Yes, completely",,,5.0,,5,A;ways,Delight,5.0,Definitely,Very fast in giving solutions,Nothing,5.0,Very good
Female,Postgraduate,5,Research,1.0,1,"Yes, completely",,,5.0,,5,Neutral,Delight ,5.0,Definitely,It's prompt and reliable answer ,It's not fast in answering questions at times ,4.0,It can be better than this
Male,Undergraduate,4,Assignment,1.0,4,"Yes, partially",,,4.0,,3,Most of the time,No,3.0,Definitely,Ease of use,Inability to fully understand the questions asked,4.0,Faster and better responses
Female,Postgraduate,5,Assignment ,1.0,1,"Yes, completely",,,5.0,,4,A;ways,Delight ,5.0,Definitely,Very prompt to answers.,Wrong information.,4.0,Information should be updated on regular basis.
Male,Undergraduate,5,Calculation ,1.0,5,"Yes, completely",,,5.0,,5,Neutral,Delight,5.0,Definitely,User friendliness ,Non human replies ,4.0,Enlarge your scope
Male,Undergraduate,4,"Assignment, Research, Calculation etc",1.0,2,"Yes, partially",,,4.0,,4,Neutral,delight,4.0,Definitely,"I get my activities done easier, faster and more efficiently",I don't pay for premium so it times me out and restricts my access to certain features,4.0,Make it free for all. That way we can evaluate it proper
Male,Undergraduate,4,Assignment ,1.0,4,"Yes, completely",,,4.0,,4,Neutral,Fun,4.0,Definitely,Fast response,Not always accurate in coding ,4.0,Ability to think more like humans
Female,Undergraduate,5,Research and assignment ,1.0,5,"Yes, completely",,,5.0,,5,Neutral,Satisfaction ,5.0,Definitely,Everything ,Nothing really ,5.0,Nill
Female,Postgraduate,4,Research ,1.0,2,"Yes, partially",,,2.0,,5,A;ways,Delight ,5.0,Definitely,Accuracy ,Nothing ,4.0,Engage it always in a discussion 
Male,Undergraduate,4,research,,5,"Yes, partially",,,4.0,,5,Neutral,confusion,4.0,Probably,give me response base on rationality,not being able to interprete all question,4.0,there should be an improve in the knowledge base
Female,Undergraduate,2,"Assignment, research, calculations ",,2,"Yes, partially",,,4.0,,3,Neutral,Confusion ,3.0,Definitely,It's fast,it might not give usable answers,4.0,If it could understand more prompts
Female,Undergraduate,5,"Cover letters, applications, practice questions for studying",1.0,1,"Yes, partially",,,2.0,,4,Never,Normal reaction because I knew what to expect ,3.0,Probably,The user interface ,The way it hallucinates data and facts and how some research data ChatGPT references are gotten from authors without credit to them,3.0,More inclusive data should be used from women and other underrepresented group.
Female,Undergraduate,2,Assignment ,1.0,1,"Yes, completely",,,1.0,,1,A;ways,Delight,1.0,Definitely,Research ,Nothing ,5.0,The should keep on do well
Male,Undergraduate,5,Research,,5,"Yes, completely",,,5.0,,5,Most of the time,No,5.0,Definitely,Fast response ,Inaccuracy,5.0,UI
Male,Undergraduate,4,Research,1.0,4,"Yes, completely",,,4.0,,4,Most of the time,Delight,4.0,Definitely,Accuracy ,Combusive words,4.0,UI
Female,Undergraduate,5,Research  and Assignment,,1,"Yes, partially",,,3.0,,2,Neutral,"delight, anger and confusion ",5.0,Definitely,its ability to getinformation from the internet with links to more information,sometimes it takes a lot of prompts for it to understand the question.,4.0,Make GPT 4.O free
Male,Undergraduate,4,Research,1.0,1,"Yes, completely",,,5.0,,4,Neutral,Not at all,3.0,Definitely,Correct responses,Not human-like,4.0,It is feel more human-like
Male,Undergraduate,3,Used chatGPT to research assignments and project work,1.0,2,"Yes, completely",,,4.0,,4,Most of the time,No it did not,4.0,Probably,Effectiveness ,Non comprehensive ,4.0,N/A
Male,Undergraduate,5,Research,1.0,5,"Yes, completely",,,5.0,,5,A;ways,Delight,5.0,Definitely,Fast response,Precision,5.0,Decisive
Male,Undergraduate,5,Research,1.0,1,"Yes, completely",,,5.0,,4,Neutral,Delight,4.0,Definitely,Consistent responses,Did not seem human-like,5.0,It should seem more human-like
Male,Undergraduate,2,Assignment ,1.0,1,"Yes, completely",,,4.0,,3,Most of the time,Delight,3.0,Definitely,It’s reliable ,It is not natural ,4.0,Make it natural 
Male,Undergraduate,3,Assignment,1.0,2,"Yes, completely",,,4.0,,5,Most of the time,Delight,4.0,Definitely,Interactivity,Always providing answers in AI form first,5.0,Answers should come in both human and AI form first
Male,Undergraduate,2,Calculation,1.0,1,"Yes, completely",,,5.0,,4,A;ways,delight,4.0,Definitely,Response ,Nothing ,4.0,Reliability 
Male,Undergraduate,5,Calculation,1.0,4,"Yes, completely",,,5.0,,5,A;ways,Delight ,5.0,Definitely,N/A,N/A,5.0,Make it more human 
Male,Undergraduate,2,Assignment ,1.0,2,"Yes, completely",,,4.0,,2,Neutral,No it didn’t,4.0,Definitely,The answers ,Nothing much ,5.0,No suggestion
Male,Undergraduate,2,Assignment ,1.0,2,"Yes, completely",,,4.0,,2,Neutral,No it didn’t,4.0,Definitely,The answers ,Nothing much ,5.0,No suggestion
Male,Undergraduate,1,old,0.0,2,"Yes, partially",,,3.0,,2,Neutral,delight,3.0,Definitely,fast,slow,3.0,improve search
Male,Undergraduate,4,Assignments ,1.0,4,"Yes, completely",,,4.0,,4,Neutral,Not really,4.0,Probably,It is good,The limit is too small,4.0,I don’t know
Male,Undergraduate,3,Assignment ,1.0,4,"Yes, completely",,,5.0,,5,Rarely,No,5.0,Definitely,The interface ,No,5.0,N/A
Male,Undergraduate,4,Reasearch,1.0,4,"Yes, partially",,,4.0,,4,Neutral,Neutral,3.0,Probably,N/A,N/A,4.0,N/A
Male,Undergraduate,3,Assignment ,,2,"Yes, partially",,,2.0,,3,Most of the time,Delight,2.0,Probably,Answers ,Slow ,2.0,More detailed response 
Male,Undergraduate,5,My project ,,3,"Yes, partially",,,3.0,,3,Neutral,Confusion ,3.0,Probably,Speed ,Confusion ,4.0,More interactive 
Male,Undergraduate,5,Assignment and research ,1.0,3,"Yes, partially",,,4.0,,4,Neutral,Confusion ,4.0,Definitely,Assistance ,Not understanding the prompt ,4.0,It should be trained to understand specific prompts In it’s initial stage 
Male,Secondary School,5,all,1.0,3,"Yes, partially",,,3.0,,4,Most of the time,fine,3.0,Definitely,coding,essay respones ,4.0,fine
Male,Undergraduate,4,assignment and research,,4,"Yes, partially",,,3.0,,3,Neutral,no,4.0,Probably,the reliablity,it gives computerized response,3.0,to give human like response
Male,Undergraduate,4,Assignments ,1.0,4,"Yes, partially",,,4.0,,4,Neutral,Nothing ,4.0,Probably,I don’t kmow,The limit is too short,4.0,I don’t know 
Male,Undergraduate,1,Calculation,,1,"No, not at all",,,3.0,,2,Neutral,Confusion,2.0,Neutral,Swag,Swag,3.0,Swag
Male,Undergraduate,4,Assignment and Research,1.0,2,"Yes, completely",,,5.0,,4,Neutral,"Delight, anger, relief, frustration",4.0,Probably,The ability the be specific on queries compared to the general google search,Some inaccurate and useless replies,4.0,Make it FREE
Male,Undergraduate,3,All,1.0,3,"Yes, partially",,,3.0,,4,Most of the time,delight,4.0,Definitely,it is helpful,nil,4.0,make chatgpt 4.0 free
Male,Undergraduate,4,Intrusion ,1.0,3,"Yes, partially",,,3.0,,2,Neutral,Ditrysin ,3.0,Neutral,Easy to use,Nothing,2.0,Nothing
Male,Undergraduate,4,My project ,,3,"No, not at all",,,4.0,,4,Most of the time,Not at all,4.0,Definitely,Time saving,Not understanding context,4.0,I don’t know 
Male,Secondary School,4,Research,1.0,2,"Yes, completely",,,5.0,,3,Never,Pleasure,2.0,Definitely not,Body,Body,2.0,NOthing
Prefer not to say,Undergraduate,4,"Assignment, Research, Calculataion",1.0,1,"Yes, completely",,,4.0,,3,Most of the time,Yes,4.0,Definitely,it answes my questions,not answering questions exactly as i ask,4.0,make it free
Male,Undergraduate,3,research,1.0,1,"Yes, partially",,,4.0,,4,Most of the time,delight,4.0,Definitely,everything,nothing,4.0,its okay as it is
Male,Undergraduate,3,Assignment,1.0,3,"Yes, partially",,,3.0,,2,Neutral,no,3.0,Probably,it works,nothing,3.0,none
Male,Undergraduate,4,assignment,1.0,4,"Yes, partially",,,4.0,,4,A;ways,frustratioon,3.0,Probably,speed,not accurate,3.0,improve accuracy 
Male,Undergraduate,2,All,1.0,2,"Yes, completely",,,4.0,,4,Most of the time,Delight,4.0,Definitely,Useable ,Nothing ,5.0,Nothing 
Male,Undergraduate,4,Research and Assignments ,1.0,4,"Yes, completely",,,4.0,,4,Rarely,Delight ,4.0,Definitely,It’s educational ,A.I dependencies,5.0,Humanizers should be encouraged
Male,Undergraduate,4,Research,1.0,1,"Yes, completely",,,4.0,,5,Neutral,Intrigue,5.0,Definitely,It's creativity,It's lack of human real-life analysis,5.0,Make it more imaginative
